plate,well,site,bf_site,nuclei_count
P015094,J06,s5,s3,132
P015094,J06,s6,s4,161
P015094,J06,s8,s5,145
P015094,J09,s2,s1,81
P015094,J09,s4,s2,66
P015094,J09,s5,s3,85
P015094,J09,s6,s4,66
P015094,J09,s8,s5,46
P015094,J11,s2,s1,143
P015094,J11,s4,s2,154
P015094,J11,s5,s3,146
P015094,J11,s6,s4,137
P015094,J11,s8,s5,128
P015094,K09,s2,s1,157
P015094,K09,s4,s2,112
P015094,K09,s5,s3,146
P015094,K09,s6,s4,83
P015094,K09,s8,s5,104
P015094,K11,s2,s1,136
P015094,K11,s4,s2,102
P015094,K11,s5,s3,99
P015094,K11,s6,s4,76
P015094,K11,s8,s5,97
P015094,K13,s2,s1,117
P015094,K13,s4,s2,128
P015094,K13,s5,s3,98
P015094,K13,s6,s4,56
P015094,K13,s8,s5,83
P015094,L05,s2,s1,87
P015094,L05,s4,s2,38
P015094,L05,s5,s3,50
P015094,L05,s6,s4,45
P015094,L05,s8,s5,38
P015094,L14,s2,s1,166
P015094,L14,s4,s2,112
P015094,L14,s5,s3,94
P015094,L14,s6,s4,57
P015094,L14,s8,s5,57
P015094,M08,s2,s1,150
P015094,M08,s4,s2,83
P015094,M08,s5,s3,98
P015094,M08,s6,s4,79
P015094,M08,s8,s5,98
P015094,M10,s2,s1,93
P015094,M10,s4,s2,62
P015094,M10,s5,s3,58
P015094,M10,s6,s4,44
P015094,M10,s8,s5,44
P015094,M13,s2,s1,70
P015094,M13,s4,s2,47
P015094,M13,s5,s3,36
P015094,M13,s6,s4,52
P015094,M13,s8,s5,41
P015094,M18,s2,s1,124
P015094,M18,s4,s2,103
P015094,M18,s5,s3,120
P015094,M18,s6,s4,66
P015094,M18,s8,s5,65
P015094,M23,s2,s1,88
P015094,M23,s4,s2,138
P015094,M23,s5,s3,65
P015094,M23,s6,s4,57
P015094,M23,s8,s5,61
P015094,N03,s2,s1,84
P015094,N03,s4,s2,54
P015094,N03,s5,s3,73
P015094,N03,s6,s4,139
P015094,N03,s8,s5,87
P015094,N07,s2,s1,89
P015094,N07,s4,s2,105
P015094,N07,s5,s3,83
P015094,N07,s6,s4,99
P015094,N07,s8,s5,88
P015094,N17,s2,s1,93
P015094,N17,s4,s2,110
P015094,N17,s5,s3,62
P015094,N17,s6,s4,50
P015094,N17,s8,s5,68
P015094,O02,s2,s1,116
P015094,O02,s4,s2,101
P015094,O02,s5,s3,107
P015094,O02,s6,s4,89
P015094,O02,s8,s5,63
P015094,O09,s2,s1,57
P015094,O09,s4,s2,45
P015094,O09,s5,s3,35
P015094,O09,s6,s4,42
P015094,O09,s8,s5,31
P015094,O17,s2,s1,94
P015094,O17,s4,s2,75
